"","Variable","Label","Antwortskala","Modul"
"1","Frage1","Ohne lange nachzudenken, als was fühlen Sie sich selbst am ehesten?","1 als Bewohner/-in meines Ortsteils oder Quartiers, 2 als Einwohner/-in meiner Wohngemeinde/meiner Stadt, 3 als Einwohner/-in meiner Region (z.B. Zürcher Weinland, Zürcher Unterland, Zürcher Oberland, Knonauer Amt), 4 als Einwohner/-in des Kantons Zürich, 5 als Deutschschweizer/-in, 6 als Schweizer/-in, 7 als Europäer/-in, 8 als Weltbürger/-in, NA ""weiss nicht""/""keine Angabe""","1"
"2","Frage2_SQ001","Ich fühle mich in meiner Wohngemeinde","1 überhaupt nicht wohl, 2 eher nicht wohl, 3 eher  wohl, 4 sehr  wohl, NA ""weiss nicht""/""keine Angabe""","2"
"3","Frage3_SQ001","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Verkehrstechnisch gute Erschliessung (Strassenverkehr)","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"4","Frage3_SQ002","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Lebendiges Vereinswesen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"5","Frage3_SQ003","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gute Schulen","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"6","Frage3_SQ004","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Effiziente Gemeindeverwaltung  ","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"7","Frage3_SQ005","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Naturnähe","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"8","Frage3_SQ006","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Tiefe Steuern","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"9","Frage3_SQ007","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gute Einkaufsmöglichkeiten","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
"10","Frage3_SQ008","Wie wichtig sind folgende Aspekte, damit Sie sich in Ihrer Wohngemeinde wohl fühlen? Gutes Freizeit- und Kulturangebot","1 absolut unwichtig, 2, 3, 4, 5, 6, 7 von zentraler Bedeutung, NA ""weiss nicht""/""keine Angabe""","3"
